2001 census wards,2011 census wards
00AGGD ,E05000128
00AGGE ,E05000129
00AGGF ,E05000130
00AGGG ,E05000131
00AGGH ,E05000132
00AGGJ ,E05000133
00AGGK ,E05000134
00AGGL ,E05000135
00AGGM ,E05000136
00AGGN ,E05000137
00AGGP ,E05000138
00AGGQ ,E05000139
00AGGR ,E05000140
00AGGS ,E05000141
00AGGT ,E05000142
00AGGU ,E05000143
00AGGW ,E05000144
00AGGX ,E05000145
00AAFA ,E05000001
00AAFQ ,E05000015
00AAFT ,E36007054
00AAFT ,E36007052
00AAFX ,E36007052
00AMGA ,E05000231
00AMGB ,E05000232
00AMGC ,E05000233
00AMGD ,E05000234
00AMGE ,E05000235
00AMGF ,E05000236
00AMGG ,E05000237
00AMGH ,E05000238
00AMGJ ,E05000239
00AMGK ,E05000240
00AMGL ,E05000241
00AMGM ,E05000242
00AMGN ,E05000243
00AMGP ,E05000244
00AMGQ ,E05000245
00AMGR ,E05000246
00AMGS ,E05000247
00AMGT ,E05000248
00AMGU ,E05000249
00ANGA ,E05000250
00ANGB ,E05000251
00ANGC ,E05000252
00ANGD ,E05000253
00ANGE ,E05000254
00ANGF ,E05000255
00ANGG ,E05000256
00ANGH ,E05000257
00ANGJ ,E05000258
00ANGK ,E05000259
00ANGL ,E05000260
00ANGM ,E05000261
00ANGN ,E05000262
00ANGP ,E05000263
00ANGQ ,E05000264
00ANGR ,E05000265
00APGA ,E05000266
00APGB ,E05000267
00APGC ,E05000268
00APGD ,E05000269
00APGE ,E05000270
00APGF ,E05000271
00APGG ,E05000272
00APGH ,E05000273
00APGJ ,E05000274
00APGK ,E05000275
00APGL ,E05000276
00APGM ,E05000277
00APGN ,E05000278
00APGP ,E05000279
00APGQ ,E05000280
00APGR ,E05000281
00APGS ,E05000282
00APGT ,E05000283
00APGU ,E05000284
00AUFX ,E05000366
00AUFY ,E05000367
00AUFZ ,E05000368
00AUGA ,E05000369
00AUGB ,E05000370
00AUGC ,E05000371
00AUGD ,E05000372
00AUGE ,E05000373
00AUGF ,E05000374
00AUGG ,E05000375
00AUGH ,E05000376
00AUGJ ,E05000377
00AUGK ,E05000378
00AUGL ,E05000379
