,,,,Childhood Obesity Prevalence,,,,,,,
,,,,Reception (age 4-5 years),,,,Year 6 (age 10-11),,,
Codes,New Code,Borough,Names,2008/09 to 2010/11: % obese,2009/10 to 2011/12: % obese,2010/11 to 2012/13: % obese,2011/12 to 2013/14: % obese,2008/09 to 2010/11: % obese,2009/10 to 2011/12: % obese,2010/11 to 2012/13: % obese,2011/12 to 2013/14: % obese
00AA,E09000001,City of London,City of London,n/a,n/a,n/a,11.1,22.2,25.5,28.8,23.21
00ABFX,E05000026,Barking and Dagenham,Abbey,14.0,15.4,15.1,13.3,21.7,21.5,23.2,24.72
00ABFY,E05000027,Barking and Dagenham,Alibon,11.0,12.5,9.6,10.0,26.0,25.9,25.6,26.00
00ABFZ,E05000028,Barking and Dagenham,Becontree,14.1,12.9,12.1,12.3,22.4,24.9,28.4,29.26
00ABGA,E05000029,Barking and Dagenham,Chadwell Heath,13.6,11.8,12.1,12.8,23.8,25.8,28.8,24.59
00ABGB,E05000030,Barking and Dagenham,Eastbrook,14.4,13.9,10.9,12.6,23.1,24.3,24.1,21.56
00ABGC,E05000031,Barking and Dagenham,Eastbury,13.3,13.6,12.3,11.5,22.8,22.6,24.3,26.51
00ABGD,E05000032,Barking and Dagenham,Gascoigne,13.5,13.8,15.5,16.2,22.3,23.9,26.1,28.99
00ABGE,E05000033,Barking and Dagenham,Goresbrook,10.2,13.5,14.4,16.2,25.1,25.2,25.8,25.16
00ABGF,E05000034,Barking and Dagenham,Heath,15.6,14.9,14.2,15.0,25.7,26.2,25.4,26.02
00ABGG,E05000035,Barking and Dagenham,Longbridge,13.1,13.0,12.5,11.4,24.4,23.1,22.6,24.89
00ABGH,E05000036,Barking and Dagenham,Mayesbrook,14.8,14.5,14.8,12.6,21.9,24.9,24.9,24.31
00ABGJ,E05000037,Barking and Dagenham,Parsloes,16.1,14.6,14.7,14.8,24.9,26.0,23.3,26.53
00ABGK,E05000038,Barking and Dagenham,River,14.6,15.6,16.3,17.2,24.7,28.3,31.2,30.17
00ABGL,E05000039,Barking and Dagenham,Thames,16.2,17.0,14.7,15.6,23.3,23.7,24.9,26.96
00ABGM,E05000040,Barking and Dagenham,Valence,12.6,11.8,11.8,12.2,23.2,21.9,21.5,24.58
00ABGN,E05000041,Barking and Dagenham,Village,13.3,14.0,14.3,12.9,25.1,29.5,27.8,27.89
00ABGP,E05000042,Barking and Dagenham,Whalebone,12.6,13.4,12.4,12.8,25.7,26.1,24.6,22.83
00ACFX,E05000043,Barnet,Brunswick Park,9.2,10.7,10.3,10.8,19.1,17.9,15.3,16.49
