2003_CAS_code,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014
00AGGD,Belsize,227,166,140,180,216,220,215,188,150
00AGGE,Bloomsbury,197,186,127,163,233,196,210,183,152
00AGGF,Camden Town with Primrose Hill,411,288,226,271,373,357,363,326,214
00AGGG,Cantelowes,409,348,266,306,407,344,345,293,232
00AGGH,Fortune Green,254,254,188,219,295,256,290,286,248
00AGGJ,Frognal and Fitzjohns,126,87,61,83,127,119,112,94,83
00AGGK,Gospel Oak,341,292,247,279,406,323,327,330,234
00AGGL,Hampstead Town,106,79,70,95,122,94,102,75,64
00AGGM,Haverstock,368,307,269,326,404,377,387,388,282
00AGGN,Highgate,268,249,194,260,285,264,284,249,198
00AGGP,Holborn and Covent Garden,342,314,253,304,340,352,361,338,248
00AGGQ,Kentish Town,367,361,254,315,408,363,374,341,247
00AGGR,Kilburn,438,485,356,422,477,469,483,432,352
00AGGS,King's Cross,358,316,261,269,367,325,357,293,205
00AGGT,Regent's Park,373,324,249,325,427,362,358,294,260
00AGGU,St Pancras and Somers Town,514,421,377,424,516,470,482,409,352
00AGGW,Swiss Cottage,215,191,158,170,237,203,204,209,139
00AGGX,West Hampstead,273,236,192,231,339,321,324,297,228
00AAFA,Aldersgate,#,6,4,5,7,11,8,4,4
00AAFE,Bishopsgate,#,#,#,#,#,#,#,#,#
00AAFQ,Cripplegate,39,44,47,38,57,40,34,43,36
00AAFS,Farringdon Within,#,#,#,#,#,#,#,#,#
00AAFT,Farringdon Without,65,37,37,47,50,35,19,13,13
00AAFX,Portsoken,31,27,26,33,40,44,51,46,35
00AAFY,Queenhithe,#,#,#,#,#,#,#,#,3
00AAFZ,Tower,#,#,#,#,3,#,#,#,#
00AAGB,Walbrook,#,#,#,#,#,#,#,#,#
00AMGA,Brownswood,409,310,301,337,455,392,383,364,324
00AMGB,Cazenove,317,310,260,287,413,439,468,400,284
00AMGC,Chatham,547,598,488,469,705,753,779,757,515
00AMGD,Clissold,352,358,303,317,459,379,407,365,301
00AMGE,Dalston,582,542,461,523,700,735,818,721,513
00AMGF,De Beauvoir,337,312,275,389,449,527,588,505,440
00AMGG,Hackney Central,515,521,414,474,604,640,644,613,467
00AMGH,Hackney Downs,476,509,425,424,601,646,675,561,479
00AMGJ,Haggerston,430,394,372,394,530,574,618,543,435
00AMGK,Hoxton,365,369,280,406,534,562,660,595,495
00AMGL,King's Park,422,448,369,387,535,539,609,569,414
00AMGM,Leabridge,427,442,367,410,597,667,718,650,540
00AMGN,Lordship,265,262,248,282,339,323,354,320,248
00AMGP,New River,354,325,267,288,382,370,357,344,274
00AMGQ,Queensbridge,470,474,378,444,595,571,687,610,482
00AMGR,Springfield,328,355,274,293,391,403,411,410,332
00AMGS,Stoke Newington Central,429,429,388,382,496,504,528,440,364
00AMGT,Victoria,481,471,372,440,593,643,728,611,480
00AMGU,Wick,428,385,346,381,495,550,588,554,424
00ANGA,Addison,278,316,211,270,333,299,307,313,264
00ANGB,Askew,321,362,312,364,498,529,525,547,455
00ANGC,Avonmore and Brook Green,268,233,211,248,320,273,322,261,219
00ANGD,College Park and Old Oak,261,218,207,229,301,314,345,316,280
00ANGE,Fulham Broadway,263,224,182,214,314,290,299,282,227
00ANGF,Fulham Reach,173,177,135,203,266,257,227,234,158
00ANGG,Hammersmith Broadway,324,302,236,342,441,396,381,365,276
00ANGH,Munster,138,136,88,130,189,153,172,144,104
00ANGJ,North End,282,244,227,286,361,352,345,308,231
00ANGK,Palace Riverside,64,55,44,60,101,67,79,67,63
00ANGL,Parsons Green and Walham,146,117,100,129,174,169,170,133,108
00ANGM,Ravenscourt Park,258,294,235,277,360,283,226,207,204
00ANGN,Sands End,228,198,167,248,353,318,303,303,254
00ANGP,Shepherd's Bush Green,370,390,293,391,483,499,556,523,439
00ANGQ,Town,194,180,163,213,258,262,245,223,202
00ANGR,Wormholt and White City,386,444,360,438,560,570,622,573,488
00APGA,Alexandra,164,143,115,190,269,218,194,197,146
00APGB,Bounds Green,366,321,268,399,481,517,542,504,402
00APGC,Bruce Grove,697,628,514,587,689,773,815,758,655
00APGD,Crouch End,254,215,179,214,279,262,259,189,178
00APGE,Fortis Green,176,165,150,175,270,263,214,178,152
00APGF,Harringay,513,451,383,425,542,563,601,513,432
00APGG,Highgate,186,185,140,168,253,211,212,203,167
00APGH,Hornsey,463,416,377,422,567,550,599,480,412
00APGJ,Muswell Hill,179,144,131,144,215,189,178,162,117
00APGK,Noel Park,451,474,362,486,624,659,701,577,466
00APGL,Northumberland Park,926,822,685,730,869,987,"1,077","1,031",865
00APGM,St Ann's,583,541,421,480,586,538,621,580,471
00APGN,Seven Sisters,495,488,375,458,569,602,606,608,469
00APGP,Stroud Green,351,336,272,368,428,372,371,370,291
00APGQ,Tottenham Green,588,554,503,507,675,736,807,741,647
00APGR,Tottenham Hale,704,651,531,560,685,743,789,789,659
00APGS,West Green,480,474,391,453,599,600,652,597,501
00APGT,White Hart Lane,526,507,421,453,534,562,639,570,444
00APGU,Woodside,428,438,314,422,594,604,559,521,391
00AUFX,Barnsbury,372,280,222,265,347,330,357,306,218
00AUFY,Bunhill,374,315,299,359,538,496,518,471,361
00AUFZ,Caledonian,403,342,304,354,520,443,494,444,366
00AUGA,Canonbury,328,288,254,297,418,431,422,381,273
00AUGB,Clerkenwell,332,270,235,286,324,312,308,320,260
00AUGC,Finsbury Park,573,492,440,522,771,666,656,631,532
00AUGD,Highbury East,322,266,231,283,340,269,260,272,218
00AUGE,Highbury West,445,418,375,396,578,523,540,464,390
00AUGF,Hillrise,435,406,347,402,541,489,475,443,376
00AUGG,Holloway,415,401,371,438,579,507,549,556,443
00AUGH,Junction,386,396,315,385,487,462,475,440,334
00AUGJ,Mildmay,393,388,323,392,470,471,474,464,402
00AUGK,St George's,396,350,316,386,553,425,448,409,339
00AUGL,St Mary's,324,268,239,296,399,325,341,312,253
00AUGM,St Peter's,301,281,224,260,350,356,370,359,254
00AUGN,Tollington,502,477,412,493,698,566,594,576,465
00AWFY,Abingdon,105,85,66,82,146,140,127,109,79
00AWFZ,Brompton,71,53,35,60,70,78,51,59,47
00AWGA,Campden,52,45,32,43,67,65,67,55,33
00AWGB,Colville,264,214,213,290,362,316,281,266,174
00AWGC,Courtfield,114,94,70,115,153,129,120,101,82
00AWGD,Cremorne,163,169,151,151,206,231,201,187,136
00AWGE,Earl's Court,250,232,194,222,282,289,281,235,210
00AWGF,Golborne,397,372,273,370,501,523,484,469,349
00AWGG,Hans Town,78,57,53,63,100,117,95,83,78
00AWGH,Holland,107,113,92,127,167,155,125,119,99
00AWGJ,Norland,152,144,128,149,208,213,208,171,127
00AWGK,Notting Barns,267,292,232,267,416,375,361,345,254
00AWGL,Pembridge,128,104,80,110,125,121,126,111,79
00AWGM,Queen's Gate,59,55,45,70,60,84,79,57,50
00AWGN,Redcliffe,210,181,144,142,215,177,145,115,103
00AWGP,Royal Hospital,45,38,27,48,72,64,60,74,61
00AWGQ,St Charles,253,242,204,246,378,334,357,323,241
00AWGR,Stanley,59,59,35,60,84,80,80,70,65
00AYFZ,Bishop's,263,254,186,224,287,300,313,289,245
00AYGA,Brixton Hill,459,467,349,450,646,562,617,626,487
00AYGB,Clapham Common,288,256,200,242,358,286,329,319,257
00AYGC,Clapham Town,344,301,249,326,427,434,426,448,353
00AYGD,Coldharbour,877,788,652,767,973,946,"1,052","1,080",792
00AYGE,Ferndale,519,478,420,491,605,573,579,547,441
00AYGF,Gipsy Hill,457,443,325,377,567,580,622,584,440
00AYGG,Herne Hill,525,434,365,416,526,504,608,540,461
00AYGH,Knight's Hill,437,432,342,385,586,587,616,563,474
00AYGJ,Larkhall,561,526,409,438,626,598,674,656,553
00AYGK,Oval,430,381,305,343,474,461,502,533,426
00AYGL,Prince's,435,392,346,387,490,467,546,524,446
00AYGM,St Leonard's,408,358,321,398,582,539,578,508,387
00AYGN,Stockwell,542,468,387,447,606,642,659,631,532
00AYGP,Streatham Hill,385,368,305,370,522,482,546,485,393
00AYGQ,Streatham South,386,350,282,370,509,452,546,480,370
00AYGR,Streatham Wells,412,399,300,383,502,485,531,485,377
00AYGS,Thornton,392,311,259,336,452,429,426,395,316
00AYGT,Thurlow Park,302,275,210,277,399,400,421,411,333
00AYGU,Tulse Hill,623,576,511,521,772,706,788,799,613
00AYGW,Vassall,607,544,480,521,694,701,811,762,588
00AZGD,Bellingham,466,438,326,415,536,535,642,613,432
00AZGE,Blackheath,321,267,218,254,342,324,375,347,271
00AZGF,Brockley,568,500,401,452,649,612,701,672,467
00AZGG,Catford South,330,326,256,354,467,439,527,455,348
00AZGH,Crofton Park,377,346,238,317,452,438,493,428,356
00AZGJ,Downham,385,347,284,381,537,526,634,597,434
00AZGK,Evelyn,621,582,469,548,666,704,760,779,582
00AZGL,Forest Hill,367,341,282,364,479,470,611,529,431
00AZGM,Grove Park,337,306,244,386,442,467,474,476,356
00AZGN,Ladywell,320,276,259,319,400,404,474,433,333
00AZGP,Lee Green,291,272,218,270,378,355,406,363,287
00AZGQ,Lewisham Central,537,502,401,470,667,660,773,721,534
00AZGR,New Cross,654,523,446,552,755,736,840,770,568
00AZGS,Perry Vale,429,445,343,425,545,530,578,514,401
00AZGT,Rushey Green,536,472,362,421,584,676,702,652,562
00AZGU,Sydenham,439,425,321,412,501,516,581,553,441
00AZGW,Telegraph Hill,493,457,366,480,568,598,674,605,488
00AZGX,Whitefoot,302,311,273,320,433,481,546,540,377
00BBGB,Beckton,303,307,273,329,452,407,548,475,349
00BBGC,Boleyn,377,370,309,378,463,412,551,510,360
00BBGD,Canning Town North,540,553,457,538,688,741,805,793,584
