ward_code,ward_name,spatial_effects,mean_residuals,obesity_rate,quadrant
E05000026,Abbey,2.4372453310803737,1.4210854715202004e-14,22.78,"Q1: High Effects, High Residuals"
E05000027,Alibon,4.575926404352902,1.5987211554602254e-14,25.875,"Q1: High Effects, High Residuals"
E05000028,Becontree,3.123510329693521,1.509903313490213e-14,26.24,"Q1: High Effects, High Residuals"
E05000029,Chadwell Heath,8.132749081250903,1.1546319456101628e-14,25.747500000000002,"Q1: High Effects, High Residuals"
E05000030,Eastbrook,-1.8553034410493483,1.3322676295501878e-14,23.265,"Q2: Low Effects, High Residuals"
E05000031,Eastbury,2.488713039765547,1.3322676295501878e-14,24.052500000000002,"Q1: High Effects, High Residuals"
E05000032,Gascoigne,4.088691555542652,1.687538997430238e-14,25.322499999999998,"Q1: High Effects, High Residuals"
E05000033,Goresbrook,3.160956571149879,1.4210854715202004e-14,25.315,"Q1: High Effects, High Residuals"
E05000034,Heath,7.885463167144728,1.509903313490213e-14,25.83,"Q1: High Effects, High Residuals"
E05000035,Longbridge,-1.5168884078107627,1.1546319456101628e-14,23.747500000000002,"Q2: Low Effects, High Residuals"
E05000036,Mayesbrook,4.878661907004391,1.5987211554602254e-14,24.002499999999998,"Q1: High Effects, High Residuals"
E05000037,Parsloes,3.793506381458113,1.2434497875801753e-14,25.1825,"Q1: High Effects, High Residuals"
E05000038,River,7.970261229975089,1.3322676295501878e-14,28.5925,"Q1: High Effects, High Residuals"
E05000039,Thames,-1.6325954911032303,1.509903313490213e-14,24.715,"Q2: Low Effects, High Residuals"
E05000040,Valence,0.9010389263831762,1.509903313490213e-14,22.794999999999998,"Q1: High Effects, High Residuals"
E05000041,Village,7.87478252172267,1.2434497875801753e-14,27.5725,"Q1: High Effects, High Residuals"
E05000042,Whalebone,2.7416651162814327,1.4210854715202004e-14,24.8075,"Q1: High Effects, High Residuals"
E05000043,Brunswick Park,-4.033804994652439,1.687538997430238e-14,17.197499999999998,"Q2: Low Effects, High Residuals"
E05000044,Burnt Oak,2.8760065496403335,1.5987211554602254e-14,24.1775,"Q1: High Effects, High Residuals"
E05000045,Childs Hill,-1.564292381758106,1.4210854715202004e-14,21.66,"Q2: Low Effects, High Residuals"
E05000046,Colindale,3.030995465002362,1.3322676295501878e-14,23.7575,"Q1: High Effects, High Residuals"
E05000047,Coppetts,-4.826036084224586,1.509903313490213e-14,17.45,"Q2: Low Effects, High Residuals"
E05000048,East Barnet,-0.716502508145088,1.5987211554602254e-14,19.7425,"Q2: Low Effects, High Residuals"
E05000049,East Finchley,-4.167724394226983,1.5987211554602254e-14,15.4775,"Q2: Low Effects, High Residuals"
E05000050,Edgware,1.3953163919914973,1.4210854715202004e-14,19.6725,"Q1: High Effects, High Residuals"
E05000051,Finchley Church End,-8.410684435151968,1.2434497875801753e-14,13.995000000000001,"Q2: Low Effects, High Residuals"
E05000052,Garden Suburb,-11.507169914592275,1.4210854715202004e-14,10.5,"Q2: Low Effects, High Residuals"
E05000053,Golders Green,-5.074114018568272,1.5987211554602254e-14,17.035,"Q2: Low Effects, High Residuals"
E05000054,Hale,3.4817945250245135,1.3322676295501878e-14,21.9675,"Q1: High Effects, High Residuals"
E05000055,Hendon,-3.6965575971459304,1.509903313490213e-14,18.43,"Q2: Low Effects, High Residuals"
E05000056,High Barnet,-3.508915652459041,1.509903313490213e-14,15.719999999999999,"Q2: Low Effects, High Residuals"
E05000057,Mill Hill,-0.2018801039414111,1.4210854715202004e-14,18.555,"Q2: Low Effects, High Residuals"
E05000058,Oakleigh,-7.031158873578635,1.687538997430238e-14,15.655000000000001,"Q2: Low Effects, High Residuals"
E05000059,Totteridge,-4.103494431126785,1.5987211554602254e-14,15.235,"Q2: Low Effects, High Residuals"
E05000060,Underhill,-1.4477351997675418,1.3322676295501878e-14,18.0425,"Q2: Low Effects, High Residuals"
E05000061,West Finchley,-9.541771225320916,1.3322676295501878e-14,14.05,"Q2: Low Effects, High Residuals"
E05000062,West Hendon,-4.9579248235794635,1.5987211554602254e-14,17.925,"Q2: Low Effects, High Residuals"
